player1,player2,total_encounters,p1_wins,p2_wins,p1_avg_rank,p2_avg_rank,avg_combined_rank,closeness,elite_score
Quali,TheHunter222,21,16,5,7.14,13.33,10.24,0.3072,2.05
Quali,btroitsk,32,17,15,9.44,8.41,8.92,0.8523,3.59
Quali,maximeeepje,11,8,3,8.09,13.45,10.77,0.4364,1.02
TheHunter222,btroitsk,10,2,8,15.1,7.1,11.1,0.3077,0.9
btroitsk,maximeeepje,7,6,1,6.0,12.57,9.29,0.2286,0.75
Bidderlyn,Mubirobiro [BR],12,8,4,4.67,8.42,6.54,0.5556,1.83
Bidderlyn,Quali,63,55,8,2.27,7.06,4.67,0.0758,13.5
Bidderlyn,Xrenoid,40,37,3,2.22,8.95,5.59,0.0556,7.16
Bidderlyn,btroitsk,23,19,4,3.74,8.52,6.13,0.1988,3.75
Bidderlyn,hrejarz2,20,20,0,1.6,21.45,11.52,0.0,1.74
Bidderlyn,m.melkowski1,31,24,7,3.68,7.16,5.42,0.2441,5.72
Bidderlyn,maximeeepje,9,8,1,4.0,13.78,8.89,0.1646,1.01
Dan,Quali,12,4,8,9.42,8.42,8.92,0.5556,1.35
Dan,btroitsk,12,4,8,10.17,6.83,8.5,0.5556,1.41
Dan,m.melkowski1,11,3,8,9.73,6.91,8.32,0.4364,1.32
Mubirobiro [BR],Quali,12,5,7,8.5,9.17,8.83,0.7576,1.36
Mubirobiro [BR],btroitsk,9,3,6,9.33,6.0,7.67,0.5797,1.17
Mubirobiro [BR],m.melkowski1,14,6,8,8.21,7.21,7.71,0.7792,1.81
Quali,Xrenoid,47,28,19,6.83,9.62,8.22,0.5576,5.72
Quali,hrejarz2,25,24,1,6.72,20.48,13.6,0.0372,1.84
Quali,m.melkowski1,39,19,20,8.33,6.97,7.65,0.928,5.1
Xrenoid,btroitsk,20,10,10,9.0,8.4,8.7,1.0,2.3
Xrenoid,hrejarz2,12,12,0,10.92,23.0,16.96,0.0,0.71
Xrenoid,m.melkowski1,23,6,17,10.61,6.7,8.65,0.3366,2.66
btroitsk,hrejarz2,10,10,0,7.0,21.2,14.1,0.0,0.71
btroitsk,m.melkowski1,21,11,10,8.43,7.52,7.98,0.907,2.63
hrejarz2,m.melkowski1,10,0,10,20.7,7.5,14.1,0.0,0.71
Bidderlyn,Covert Skeleton,9,9,0,4.33,11.67,8.0,0.0,1.12
Bidderlyn,Tv0r9,7,7,0,6.29,18.29,12.29,0.0,0.57
Covert Skeleton,Quali,10,4,6,10.3,12.7,11.5,0.7273,0.87
Covert Skeleton,Xrenoid,9,5,4,11.56,10.22,10.89,0.8466,0.83
Covert Skeleton,btroitsk,8,2,6,10.62,8.25,9.44,0.4167,0.85
